Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"doubleClick(findTestObject(""TC004/input_Basic info (order summary)_customerRefNo""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 16:40:30,2022-11-15 16:40:31,0.772s,PASSED
"sendKeys(findTestObject(""TC004/input_Basic info (order summary)_customerRefNo""), y)",Chrome 107.0.0.0,,,2022-11-15 16:40:31,2022-11-15 16:40:32,0.658s,PASSED
"click(findTestObject(""TC004/div_scroll""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 16:40:32,2022-11-15 16:40:32,0.521s,PASSED
"sendKeys(findTestObject(null), Keys.chord(HOME))",Chrome 107.0.0.0,,,2022-11-15 16:40:32,2022-11-15 16:40:33,0.517s,PASSED
"click(findTestObject(""TC004/button_issue""))",Chrome 107.0.0.0,,,2022-11-15 16:40:33,2022-11-15 16:40:33,0.549s,PASSED
"click(findTestObject(""TC004/button_CONFIRM""))",Chrome 107.0.0.0,,,2022-11-15 16:40:33,2022-11-15 16:40:34,0.643s,PASSED
"verifyElementPresent(findTestObject(""TC003/p_The operation was successful""), 0)",Chrome 107.0.0.0,,,2022-11-15 16:40:34,2022-11-15 16:40:36,1.902s,PASSED
,,,,,,,
Test Cases/TC005 - Approve Change Cancel Request (Supplier),Chrome 107.0.0.0,,,2022-11-15 16:40:36,2022-11-15 16:41:11,35.114s,PASSED
"callTestCase(findTestCase(""common/Login""), [""username"":usernameAzwan, ""password"":passwordAzwan, ""verification"":verificationAzwan, ""company"":sgbafco], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 16:40:36,2022-11-15 16:40:53,16.968s,PASSED
"click(findTestObject(""TC005/h6_Order""))",Chrome 107.0.0.0,,,2022-11-15 16:40:53,2022-11-15 16:40:54,0.943s,PASSED
"click(findTestObject(""TC005/li_ChangeCancel Request List""))",Chrome 107.0.0.0,,,2022-11-15 16:40:54,2022-11-15 16:41:00,6.210s,PASSED
"if (verifyElementVisible(findTestObject(""TC005/h1_What can you do in Change or Cancel Request List"")) == true)",Chrome 107.0.0.0,,,2022-11-15 16:41:00,2022-11-15 16:41:03,2.980s,PASSED
"setText(findTestObject(""TC005/input Search""), findTestData(""Toyotsu-data"").getValue(1, 2))",Chrome 107.0.0.0,,,2022-11-15 16:41:03,2022-11-15 16:41:05,1.369s,PASSED
"click(findTestObject(""TC005/button filter""))",Chrome 107.0.0.0,,,2022-11-15 16:41:05,2022-11-15 16:41:05,0.629s,PASSED
"click(findTestObject(""TC005/input__requestStatusList""))",Chrome 107.0.0.0,,,2022-11-15 16:41:05,2022-11-15 16:41:06,1.043s,PASSED
"click(findTestObject(""TC005/li_New""))",Chrome 107.0.0.0,,,2022-11-15 16:41:06,2022-11-15 16:41:07,0.528s,PASSED
"click(findTestObject(""TC005/button_Search""))",Chrome 107.0.0.0,,,2022-11-15 16:41:07,2022-11-15 16:41:08,0.523s,PASSED
"click(findTestObject(""TC005/button detail""))",Chrome 107.0.0.0,,,2022-11-15 16:41:08,2022-11-15 16:41:09,1.177s,PASSED
